Player Name,Player ID,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Shooting FG%,Shooting 3P%,Shooting FT%,Per Game MP,Per Game PTS,Per Game TRB,Per Game AST
Corey Gaines,gaineco01,109,2023,312,619,42,83,210,309,,162,424,99,9,240,198,876,504,506,680,18.6,8.0,1.5,3.9
Ricky Grace,graceri01,136,2353,638,1306,141,366,295,418,,469,951,178,17,216,220,1712,489,385,706,32.7,12.6,3.4,7.0
Craig Neal,nealcr01,127,3095,289,636,66,170,174,228,,197,659,127,22,296,265,818,454,388,763,24.4,6.4,1.6,5.2
Michael Anderson,andermi01,115,4049,720,1505,,,705,958,,689,,341,48,511,385,2208,478,,736,35.2,19.2,6.0,
Gerald Paddio,paddige01,73,,423,969,205,519,120,157,,334,177,69,21,150,154,1171,437,395,764,,16.0,4.6,2.4
David Robinson,robinda01,127,3741,1032,1683,1,1,604,964,,1314,84,158,516,261,350,2669,613,1.00,627,29.5,21.0,10.3,0.7
Armen Gilliam,gilliar01,107,3302,716,1235,,,423,594,,890,58,122,91,196,263,1855,580,,712,30.9,17.3,8.3,0.5
Dennis Hopson,hopsode01,125,3611,796,1534,67,160,437,551,,712,258,164,59,276,227,2096,519,419,793,28.9,16.8,5.7,2.1
Reggie Williams,willire01,138,4025,809,1651,78,202,421,548,,886,327,206,66,312,377,2117,490,386,768,29.2,15.3,6.4,2.4
Scottie Pippen,pippesc01,93,,637,1131,23,40,303,436,,749,253,193,,291,261,1600,563,575,695,,17.2,8.1,2.7
Kenny Smith,smithke01,127,4218,628,1226,87,213,293,356,,283,768,195,6,373,185,1636,512,408,823,33.2,12.9,2.2,6.0
Kevin Johnson,johnske02,118,3814,601,1259,48,124,405,535,,423,521,,,,,1655,477,387,757,32.3,14.0,3.6,4.4
Olden Polynice,polynol01,95,3035,442,765,,,267,436,,667,52,25,86,220,223,1151,578,,612,31.9,12.1,7.0,0.5
Derrick McKey,mckeyde01,99,3044,499,860,21,50,212,266,,643,132,73,188,177,270,1231,580,420,797,30.7,12.4,6.5,1.3
Horace Grant,grantho01,122,3363,660,1104,1,2,375,533,,981,206,104,82,220,337,1696,598,500,704,27.6,13.9,8.0,1.7
Reggie Miller,millere01,122,3836,769,1405,69,157,488,584,,509,247,158,22,218,262,2095,547,439,836,31.4,17.2,4.2,2.0
Muggsy Bogues,boguemu01,119,3568,386,816,35,79,179,239,,290,781,275,4,297,277,986,473,443,749,30.0,8.3,2.4,6.6
Joe Wolf,wolfjo01,128,3185,511,928,23,40,186,243,,707,243,84,39,207,279,1231,551,575,765,24.9,9.6,5.5,1.9
Tellis Frank,frankte01,122,,525,1088,,,273,384,,664,187,99,59,235,367,1323,483,,711,,10.8,5.4,1.5
Jose Ortiz,ortizjo01,52,1865,385,691,,,258,367,,450,,49,73,132,141,1029,557,,703,35.9,19.8,8.7,
Chris Welp,welpch01,129,4114,820,1440,,,433,600,,995,,109,186,314,463,2073,569,,722,31.9,16.1,7.7,
Ronnie Murphy,murphro01,114,3867,770,1699,,,328,443,,543,,205,79,345,306,1937,453,,740,33.9,17.0,4.8,
Mark Jackson,jacksma01,131,3980,465,912,49,117,349,465,,338,738,172,26,299,219,1328,510,419,751,30.4,10.1,2.6,5.6
Ken Norman,normake01,92,2589,558,916,1,4,276,375,,636,126,70,89,164,170,1393,609,250,736,28.1,15.1,6.9,1.4
Jim Farmer,farmeji01,111,2944,453,957,36,93,255,325,,390,189,90,7,180,273,1197,473,387,785,26.5,10.8,3.5,1.7
Dallas Comegys,comegda01,118,3423,607,1180,,,399,588,,714,,95,297,222,288,1613,514,,679,29.0,13.7,6.1,
Reggie Lewis,lewisre01,122,4187,1043,2098,30,91,592,783,,964,213,226,155,334,325,2708,497,330,756,34.3,22.2,7.9,1.7
Greg Anderson,andergr01,123,3457,676,1230,,,310,538,,1045,59,133,227,252,317,1662,550,,576,28.1,13.5,8.5,0.5
Ron Moore,moorero01,123,1122,1111,1966,,,428,743,,1333,,128,182,97,126,2650,565,,576,32.1,21.5,10.8,
Steve Alford,alforst01,125,,898,1685,107,202,535,596,,345,385,178,7,226,209,2438,533,530,898,,19.5,2.8,3.1
Nate Blackwell,blackna01,129,4563,625,1445,,,352,425,,437,,159,13,236,224,1708,433,,828,35.4,13.2,3.4,
Rickie Winslow,winslri01,124,4087,631,1154,,,283,449,,969,,207,102,245,409,1548,547,,630,33.0,12.5,7.8,
Nikita Wilson,wilsoni01,110,3192,563,1037,,,258,365,,699,,67,77,209,303,1384,543,,707,29.0,12.6,6.4,
Andre Moore,moorean01,85,3167,597,1150,,,206,291,,929,,72,176,156,243,1400,519,,708,37.3,16.5,10.9,
Bob McCann,mccanbo01,108,2586,677,1315,1,3,339,559,,1070,99,81,224,274,294,1694,515,333,606,31.5,15.7,9.9,1.2
Tony White,whiteto01,127,4034,846,1704,,,499,594,,285,,94,5,279,311,2219,496,,840,31.8,17.5,2.2,
Brian Rowsom,rowsobr01,115,3758,775,1441,,,423,570,,1015,,114,89,167,326,1974,538,,742,32.7,17.2,8.8,
Doug Lee,leedo01,116,2572,353,732,36,94,139,210,,417,269,89,4,171,239,881,482,383,662,22.2,7.6,3.6,2.3
Duane Washington,washidu01,63,1751,169,383,3,12,120,150,,216,142,134,8,182,142,461,441,250,800,27.8,7.3,3.4,2.3
Norris Coleman,colemno01,47,1605,408,793,,,186,249,,385,,42,54,74,108,1003,515,,747,34.1,21.3,8.2,
Vincent Askew,askewvi01,103,3435,452,918,16,42,251,334,,515,398,116,14,232,165,1171,492,381,751,33.3,11.4,5.0,3.9
Winston Garland,garlawi01,66,2125,479,990,57,113,233,306,,201,289,141,16,166,150,1248,484,504,761,32.2,18.9,3.0,4.4
Kannard Johnson,johnska01,126,,693,1294,,,352,471,,840,,,,,,1738,536,,747,,13.8,6.7,
Brad Lohaus,lohaubr01,115,1976,280,600,26,73,141,203,,526,114,46,68,135,181,727,467,356,695,20.8,6.3,4.6,1.0
Jamie Waller,walleja01,128,,930,1740,,,423,667,,943,,41,33,,,2298,534,,634,,18.0,7.4,
Phil Zevenbergen,zevenph01,67,1623,252,503,,,165,229,,411,,30,38,119,149,669,501,,721,24.6,10.0,6.1,
Donald Royal,royaldo01,117,3058,333,595,,,449,576,,570,75,89,29,,280,1115,560,,780,26.1,9.5,4.9,0.6
Winston Crite,critewi01,123,4049,614,1093,,,348,518,,913,,114,200,292,405,1576,562,,672,32.9,12.8,7.4,
Darryl Johnson,johnsda02,107,3052,585,1092,13,35,200,241,,258,289,138,15,170,213,1383,536,371,830,28.5,12.9,2.4,2.7
Kevin Gamble,gamblke01,65,1127,198,374,25,76,76,109,,210,78,52,7,66,112,497,529,329,697,17.3,7.6,3.2,1.2
Eric White,whiteer01,117,3582,699,1332,,,276,385,,811,,94,57,217,324,1674,525,,717,30.6,14.3,6.9,
Billy Donovan,donovbi01,122,2971,452,980,,,327,402,,190,,170,8,271,151,1328,461,,813,24.4,10.9,1.6,
Joe Arlauckas,arlaujo01,113,3212,688,1358,,,232,360,,815,,66,220,203,242,1610,507,,644,28.4,14.2,7.2,
Chris Dudley,dudlech02,102,2798,512,998,,,269,525,,974,73,49,172,240,338,1293,513,,512,27.4,12.7,9.5,0.7
Jack Haley,haleyja01,86,1574,107,252,,,103,162,,376,52,13,29,101,237,317,425,,636,18.3,3.7,4.4,0.6
Dave Popson,popsoda01,134,1906,329,632,,,102,135,,382,100,41,55,123,273,760,521,,756,14.2,5.7,2.9,0.7
Ron Grandison,grandro01,115,2851,480,921,0,1,317,509,,752,124,,,,,1277,521,000,623,24.8,11.1,6.5,1.1
Bart Kofoed,kofoeba01,94,,701,1429,38,114,268,380,,445,384,106,2,218,136,1708,491,333,705,,18.2,4.7,5.8
Martin Nessley,nesslma01,92,730,86,180,,,52,83,,191,,17,53,55,144,224,478,,627,7.9,2.4,2.1,
Sarunas Marciulionis,marcisa01,,,,,,,,,,,,,,,,,,,,,,,
Brad Daugherty,daughbr01,135,3973,760,1226,0,1,392,560,,1003,214,92,146,290,402,1912,620,000,700,29.4,14.2,7.4,1.6
Chris Washburn,washbch01,41,1366,273,496,,,128,202,,270,,36,38,99,80,674,550,,634,33.3,16.4,6.6,
Chuck Person,persoch01,126,4133,1017,1899,,,277,366,,940,174,124,44,269,280,2311,536,,757,32.8,18.3,7.5,1.4
Kenny Walker,walkeke01,132,4079,765,1339,,,550,733,,942,50,118,122,183,327,2080,571,,750,30.9,15.8,7.1,1.4
William Bedford,bedfowi01,93,2821,514,906,,,196,313,,675,67,32,234,148,234,1224,567,,626,30.3,13.2,7.3,0.7
Roy Tarpley,tarplro01,122,2995,629,1205,,,343,443,,953,122,103,251,258,321,1601,522,,774,31.2,13.1,7.8,1.3
Ron Harper,harpero01,120,4164,969,1814,,,439,684,,1119,338,287,175,335,342,2377,534,,642,34.7,19.8,9.3,2.8
Brad Sellers,sellebr01,118,4186,776,1569,0,1,408,517,,1153,156,113,307,294,362,1960,495,000,789,35.5,16.6,9.8,1.3
Johnny Dawkins,dawkijo01,133,4749,1026,2019,19,54,485,614,,536,555,168,24,414,270,2556,508,352,790,35.7,19.2,4.0,4.2
John Salley,sallejo01,125,4197,595,1013,,,397,627,,798,319,97,243,247,397,1587,587,,633,33.6,12.7,6.4,2.6
John Williams,willijo02,66,2212,432,845,,,182,236,,503,207,85,32,169,197,1046,511,,771,33.5,15.8,7.6,3.1
Pearl Washington,washipe01,95,3198,570,1083,,,350,480,,253,,220,6,355,266,1490,526,,729,33.7,15.7,2.7,
Walter Berry,berrywa01,71,2518,558,961,,,308,435,,703,,59,121,196,184,1424,581,,708,35.5,20.1,9.9,
Dell Curry,curryde01,126,4275,1021,2022,4,7,343,437,,610,407,295,80,388,333,2389,505,571,785,33.9,19.0,4.8,3.2
Maurice Martin,martima01,114,3776,665,1289,,,373,506,,622,,248,75,110,392,1726,516,,737,33.1,15.1,5.5,
Harold Pressley,pressha01,135,4286,612,1255,,,348,501,,1016,,,,,,1572,488,,695,31.7,11.6,7.5,
Mark Alarie,alarima01,133,4042,828,1505,0,2,480,602,,833,152,121,104,268,387,2136,550,000,797,30.4,16.1,6.3,1.1
Billy Thompson,thompbi01,143,4065,651,1233,,,383,533,,928,459,108,185,475,430,1685,528,,719,28.4,11.8,6.5,3.2
Buck Johnson,johnsbu01,122,4130,731,1353,,,407,551,,933,160,121,115,318,370,1869,540,,739,33.9,15.3,7.6,1.3
Anthony Jones,jonesan01,131,3382,647,1277,,,188,300,,535,,186,59,207,262,1533,507,,627,25.8,11.7,4.1,
Scott Skiles,skilesc01,118,4285,837,1623,25,50,446,525,,353,645,175,3,442,315,2145,516,500,850,36.3,18.2,3.0,5.5
Arvydas Sabonis,sabonar01,,,,,,,,,,,,,,,,,,,,,,,
Mark Price,pricema01,126,4604,848,1740,73,166,424,499,,331,510,240,11,339,248,2193,487,440,850,36.5,17.4,2.6,4.0
Greg Dreiling,dreilgr01,134,3294,556,979,,,331,453,,771,144,48,173,266,419,1443,568,,731,24.6,10.8,5.8,1.1
Dennis Rodman,rodmade01,96,,988,1550,,,489,783,,1507,61,131,123,283,304,2465,637,,625,,25.7,15.7,0.6
Larry Krystkowiak,krystla01,120,3661,699,1247,,,619,784,,1105,133,96,28,219,251,2017,561,,790,30.5,16.8,9.2,1.1
Johnny Newman,newmajo01,122,4203,933,1755,,,517,646,,668,121,145,84,264,347,2383,532,,800,34.5,19.5,5.5,1.0
Nate McMillan,mcmilna01,67,2181,221,469,,,130,185,,344,402,149,62,184,180,572,471,,703,32.6,8.5,5.1,6.0
Cedric Henderson,hendece01,28,741,167,307,,,99,145,,199,,51,31,56,85,433,544,,683,26.5,15.5,7.1,
Kevin Duckworth,duckwke01,118,3067,627,1087,,,315,447,,867,57,50,123,232,385,1569,577,,705,26.0,13.3,7.3,0.5
Johnny Rogers,rogerjo01,114,3512,726,1350,,,401,481,,711,,58,81,149,335,1878,538,,834,30.8,16.5,6.2,
Milt Wagner,wagnemi01,144,4083,749,1497,2,4,336,413,,355,432,138,52,373,325,1836,500,500,814,28.4,12.8,2.5,3.0
Rafael Addison,addisra01,126,3798,779,1458,,,318,417,,649,320,148,65,247,327,1876,534,,763,30.1,14.9,5.2,2.5
Otis Smith,smithot01,117,4263,685,1437,2,7,343,470,,911,272,189,211,295,315,1715,477,286,730,36.4,14.7,7.8,2.3
Dave Feitl,feitlda01,125,3144,543,1084,,,356,487,,726,129,38,137,207,362,1442,501,,731,25.2,11.5,5.8,1.0
David Wingate,wingada01,139,3944,697,1494,,,388,540,,494,364,209,24,315,326,1782,467,,719,28.4,12.8,3.6,2.6
Keith Smith,smithke03,110,3706,814,1679,,,351,486,,240,,85,13,203,277,1980,485,,722,33.7,18.0,2.2,
Jeff Hornacek,hornaje01,123,4101,510,1043,,,293,371,,412,665,211,32,281,313,1313,489,,790,33.3,10.7,3.3,5.4
Michael Jackson,jacksmi02,131,3618,477,998,,,330,410,,225,,176,6,358,338,1284,478,,805,27.6,9.8,1.7,
Forrest McKenzie,mckenfo01,110,3755,890,1812,,,279,335,,723,,31,8,71,312,2060,491,,833,34.1,18.7,6.6,
Kevin Henderson,hendeke01,73,1985,368,721,,,205,361,,144,,57,6,161,203,981,510,,568,27.2,13.4,2.0,
Mike Williams,willimi03,102,3013,503,921,,,244,408,,721,,34,68,151,319,1250,546,,598,29.5,12.3,7.1,
Ricky Wilson,wilsori02,116,3660,586,1235,,,333,485,,361,,127,15,312,294,1505,474,,687,31.6,13.0,3.1,
Tod Murphy,murphto01,117,3739,644,1158,2,4,488,625,,837,201,95,39,258,310,1778,556,500,781,32.0,15.2,7.2,1.7
Dwayne Polee,poleedw01,116,3330,540,1075,,,419,558,,400,,151,22,241,332,1499,502,,751,28.7,12.9,3.4,
Kenny Gattison,gattike01,122,3519,631,1143,,,361,555,,963,80,110,124,251,321,1623,552,,650,28.8,13.3,7.9,0.7
Bruce Douglas,douglbr01,130,4373,513,1149,,,234,315,,418,,324,26,332,280,1261,446,,743,33.6,9.7,3.2,
Dave Henderson,hendeda01,128,3325,586,1208,,,389,554,,513,,,,,,1570,485,,702,26.0,12.3,4.0,
Drazen Petrovic,petrodr01,,,,,,,,,,,,,,,,,,,,,,,
John Shasky,shaskjo01,112,2905,420,793,,,232,352,,598,77,46,118,165,246,1072,530,,659,25.9,9.6,5.3,0.7
Dave Hoppen,hoppeda01,111,3711,804,1341,,,559,724,,773,149,62,55,230,367,2167,600,,772,33.4,19.5,7.0,1.3
Anthony Bowie,bowiean01,72,2452,404,794,,,155,197,,376,362,112,24,161,204,963,509,,787,34.1,13.4,5.2,5.0
Ron Rowan,rowanro01,100,2167,318,633,,,149,183,,191,,68,6,112,158,785,502,,814,21.7,7.9,1.9,
Andre Turner,turnean01,132,4352,584,1198,,,274,362,,226,763,272,12,412,274,1442,487,,757,33.0,10.9,1.7,5.8
Jim Les,lesji01,118,3204,439,924,,,269,348,,356,884,175,2,161,316,1147,475,,773,36.8,9.7,3.0,7.5
Scott Meents,meentsc01,124,1861,256,530,,,85,117,,326,193,48,85,144,216,597,483,,726,15.0,4.8,2.6,1.6
Grant Gondrezick,gondrgr01,102,2050,370,734,,,184,238,,306,,73,8,140,201,924,504,,773,20.1,9.1,3.0,
Myron Jackson,jacksmy01,120,2607,571,1271,,,229,314,,447,,110,9,241,300,1371,449,,729,29.0,11.4,3.7,
Conner Henry,henryco01,101,3159,427,993,,,308,396,,407,,87,19,309,250,1237,430,,778,31.3,12.2,4.0,
Richard Rellford,rellfri01,124,2212,472,845,,,267,337,,487,,90,47,178,333,1211,559,,792,23.0,9.8,3.9,
Clinton Smith,smithcl01,84,1788,424,783,,,141,232,,351,127,100,11,136,130,989,542,,608,21.3,11.8,4.2,1.5
Dominic Pressley,pressdo01,119,3216,382,772,,,203,291,,320,,,,,,967,495,,698,27.0,8.1,2.7,
Steffond Johnson,johnsst02,87,1465,237,488,,,152,261,,394,42,37,18,77,215,626,486,,582,16.8,7.2,4.5,0.5
Pete Myers,myerspe01,64,1142,391,788,,,315,428,,483,,102,31,199,208,1097,496,,736,33.6,17.1,7.5,
Curtis Kitchen,kitchcu01,118,3124,289,601,,,168,320,,816,,71,257,216,375,746,481,,525,26.5,6.3,6.9,
Tim Kempton,kemptti01,107,2802,310,601,,,307,406,,597,157,63,40,,281,927,516,,756,26.2,8.7,5.6,1.5
Anthony Frederick,fredean01,62,1963,275,527,,,109,195,,437,126,81,145,155,200,659,522,,559,31.7,10.6,7.0,2.0
Alexander Volkov,volkoal01,,,,,,,,,,,,,,,,,,,,,,,
Patrick Ewing,ewingpa01,143,4399,857,1382,,,470,740,,1316,128,167,493,326,436,2184,620,,635,30.8,15.3,9.2,0.9
Wayman Tisdale,tisdawa01,104,3653,1077,1862,,,507,767,,1048,97,92,209,214,312,2661,578,,661,35.1,25.6,10.1,0.9
Benoit Benjamin,benjabe01,89,3176,610,1085,,,355,493,,1005,151,60,411,239,264,1575,562,,720,35.7,17.7,11.3,1.7
Xavier McDaniel,mcdanxa01,117,3638,893,1584,,,366,587,,1359,197,114,103,300,351,2152,564,,624,31.1,18.4,11.6,1.7
Jon Koncak,koncajo01,123,3971,713,1276,,,358,552,,1169,173,74,278,273,426,1784,559,,649,32.3,14.5,9.5,1.4
Joe Kleine,kleinjo01,126,3703,700,1192,,,429,593,,877,77,89,51,266,327,1829,587,,723,29.4,14.5,7.0,0.6
Chris Mullin,mullich01,125,4668,879,1599,,,682,804,,509,453,211,42,381,279,2440,550,,848,37.3,19.5,4.1,3.6
Detlef Schrempf,schrede01,122,3638,543,1043,,,363,513,,752,284,69,42,303,353,1449,521,,708,29.8,11.9,6.2,2.3
Charles Oakley,oaklech01,117,,928,1523,,,523,834,,1642,94,,32,,,2379,609,,627,,20.3,14.0,1.6
Ed Pinckney,pincked01,129,4366,637,1054,,,591,817,,1107,226,196,253,304,382,1865,604,,723,33.8,14.5,8.6,1.8
Keith Lee,leeke01,128,4430,930,1797,,,548,701,,1336,,108,320,368,416,2408,518,,782,34.6,18.8,10.4,
Kenny Green,greenke02,84,2543,524,965,,,204,308,,554,,53,89,160,216,1252,543,,662,30.3,14.9,6.6,
Karl Malone,malonka01,92,2831,653,1154,,,410,650,,859,125,151,59,269,329,1716,566,,631,30.8,18.7,9.3,1.4
Alfredrick Hughes,hugheri01,120,4459,1226,2660,,,462,701,,982,106,128,49,331,336,2914,461,,659,37.2,24.3,8.2,0.9
Blair Rasmussen,rasmubl01,114,3438,618,1195,,,318,432,,673,105,40,116,229,385,1554,517,,736,30.2,13.6,5.9,0.9
Bill Wennington,wennibi01,124,2995,398,687,,,225,305,,644,100,54,151,149,379,1021,579,,738,24.2,8.2,5.2,0.8
Uwe Blab,blabuw01,118,,545,1003,,,267,418,,634,,43,196,222,323,1357,543,,639,,11.5,5.4,
Joe Dumars,dumarjo01,116,,942,2038,5,8,723,917,,488,330,188,17,333,297,2612,462,625,788,,22.5,4.2,2.8
Steve Harris,harrist01,122,3818,904,1649,,,460,543,,428,,271,28,264,236,2272,548,,847,31.3,18.6,3.5,
Sam Vincent,vincesa01,110,3864,685,1394,5,11,476,593,,331,,159,18,281,298,1851,491,455,803,35.1,16.8,3.0,
Terry Catledge,catlete01,86,2981,721,1296,,,424,640,,932,,94,56,184,185,1866,556,,663,34.7,21.7,10.8,
Jerry Reynolds,reynoje01,90,2590,416,798,,,237,407,,613,,194,53,172,258,1069,521,,582,28.8,11.9,6.8,
A.C. Green,greenac01,115,4052,612,1017,,,470,675,,880,185,123,38,287,265,1694,602,,696,35.2,14.7,7.7,1.6
Terry Porter,portete01,117,3304,638,1083,,,309,388,,450,440,171,31,208,244,1585,589,,796,28.2,13.5,3.8,3.8
Mike Smrek,smrekmi01,108,2512,398,688,,,187,310,,566,,32,172,230,338,983,578,,603,23.3,9.1,5.2,
Bill Martin,martibi01,142,3332,508,979,,,293,425,,740,,106,36,210,283,1309,519,,689,23.5,9.2,5.2,
Dwayne McClain,mccladw01,125,3659,643,1119,,,258,349,,438,,133,50,256,338,1544,575,,739,29.3,12.4,3.5,
Ken Johnson,johnske01,76,1495,305,573,,,121,227,,646,,18,96,91,117,731,532,,533,31.1,9.6,8.5,
Mike Brittain,brittmi01,109,2096,294,658,,,176,251,,505,,22,160,172,308,764,447,,701,19.2,7.0,4.6,
Manute Bol,bolma01,31,,303,496,,,91,153,,419,42,8,219,58,72,697,611,,595,,22.5,13.5,1.4
Nick Vanos,vanosni01,113,2796,556,1091,,,287,480,,876,,56,159,219,280,1399,510,,598,24.7,12.4,7.8,
Greg Stokes,stokegr01,120,2161,705,1294,,,358,554,,807,,112,229,244,343,1768,545,,646,36.0,14.7,6.7,
Tyrone Corbin,corbity01,120,3736,522,1036,,,334,437,,893,227,135,57,281,335,1378,504,,764,31.1,11.5,7.4,1.9
Yvon Joseph,josepyv01,65,1934,288,525,,,182,257,,446,,37,17,159,187,758,549,,708,29.8,11.7,6.9,
Carey Scurry,scurrca01,79,,549,1021,,,315,444,,1013,,202,291,,,1413,538,,709,,17.9,12.8,
Fernando Martin,martife01,,,,,,,,,,,,,,,,,,,,,,,
Mark Acres,acresma01,110,2637,799,1416,,,440,632,,1051,,150,164,283,395,2038,564,,696,33.4,18.5,9.6,
Lorenzo Charles,charllo01,126,2260,583,1055,,,369,525,,730,,46,66,171,251,1535,553,,703,34.2,12.2,5.8,
Barry Stevens,steveba01,117,3954,880,1847,,,430,555,,544,,132,10,281,304,2189,476,,775,33.8,18.7,4.6,
Voise Winters,wintevo01,120,3076,731,1463,,,246,345,,686,,16,42,54,267,1714,500,,713,35.8,14.3,5.7,
Hot Rod Williams,williho01,115,3972,705,1285,,,431,590,,809,198,105,192,267,274,1841,549,,731,34.5,16.0,7.0,1.7
Adrian Branch,brancad01,123,4179,767,1579,,,454,607,,546,,110,50,348,372,2017,486,,748,34.0,16.4,4.4,
Gerald Wilkins,wilkige01,85,2745,606,1179,3,12,234,357,,352,140,123,21,212,181,1449,514,250,655,32.3,17.0,4.1,1.6
Brad Wright,wrighbr01,99,1677,209,399,,,140,227,,461,,38,74,102,214,558,524,,617,16.9,5.6,4.7,
Sam Mitchell,mitchsa01,112,3056,768,1500,,,450,590,,703,149,120,87,211,308,1986,512,,763,36.0,17.7,6.3,1.3
Sedric Toney,toneyse01,59,1797,280,569,,,162,223,,157,,54,4,154,192,722,492,,726,30.5,12.2,2.7,
Perry Young,youngpe01,129,4123,722,1396,,,455,660,,779,,143,37,296,372,1899,517,,689,32.0,14.7,6.0,
Harold Keeling,keeliha01,114,3314,675,1361,,,381,543,,463,,263,49,248,218,1731,496,,702,29.1,15.2,4.1,
Michael Adams,adamsmi01,119,3524,634,1350,,,382,509,,320,475,275,12,335,241,1650,470,,750,29.6,13.9,2.7,4.0
Mike Brown,brownmi01,111,3970,710,1395,,,496,759,,1166,174,100,98,104,325,1916,509,,653,35.8,17.3,10.5,1.6
Fred Cofield,cofiefr01,106,3746,656,1394,,,249,311,,260,,129,3,154,302,1561,471,,801,35.3,14.7,2.5,
Alex Stivrins,stivral01,111,2699,487,960,,,211,368,,892,,142,86,290,299,1185,507,,573,33.3,10.7,8.0,
Arvydas Sabonis,sabonar01,,,,,,,,,,,,,,,,,,,,,,,
Mark Davis,davisma01,110,2565,425,848,,,187,249,,385,,85,20,169,240,1039,501,,751,23.3,9.4,3.5,
Scott Roth,rothsc01,109,2940,455,927,,,246,330,,310,,98,4,208,227,1157,491,,745,27.0,10.6,2.8,
Delaney Rudd,ruddde01,114,3165,561,1134,13,29,194,241,,196,,93,5,182,264,1329,495,448,805,27.8,11.7,1.7,
John Battle,battljo01,114,2647,535,1096,26,76,289,409,,270,,65,11,,202,1385,488,342,707,23.2,12.1,2.4,
Spud Webb,webbsp01,139,1899,741,1548,,,508,657,,308,999,127,12,162,174,1990,479,,773,28.8,14.3,2.2,7.2
Pete Williams,willipe01,59,1997,296,489,,,201,334,,544,,65,41,112,175,793,605,,602,33.8,13.4,9.2,
Derrick Gervin,gervide01,80,,651,1189,,,389,499,,684,,75,65,188,249,1691,548,,780,,21.1,8.6,
Cozell McQueen,mcqueco01,134,2185,275,543,,,165,271,,800,,41,121,150,372,715,506,,609,33.1,5.3,6.0,
Dexter Shouse,shousde01,58,1892,308,646,,,130,163,,146,,111,25,63,75,746,477,,798,32.6,12.9,2.5,
Ralph Lewis,lewisra01,116,1071,677,1277,,,453,643,,966,,200,94,167,299,1807,530,,705,33.5,15.6,8.3,
Michael Phelps,phelpmi01,114,3130,646,1305,,,372,530,,420,,,,,,1664,495,,702,27.5,14.6,3.7,
Georgi Glouchkov,gloucge01,,,,,,,,,,,,,,,,,,,,,,,
Mario Elie,eliema01,120,4196,822,1482,,,480,626,,1001,332,186,,,,2124,555,,767,35.0,17.7,8.3,2.8
